Name,Model,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Daniel Weiskopf,curie,Text1,0.146938776,0.536,0.185483871,0.288,863,0.9702118,0.1012
Daniel Weiskopf,curie,Text2,0.114537445,0.448275862,0.130434783,0.25,803,0.95820314,0.0499
Daniel Weiskopf,curie,Text3,0.0,0.086956522,0.0,0.057971014,679,0.7171744,0.0
Daniel Weiskopf,davinci,Text1,0.193832599,0.513043478,0.210526316,0.347826087,863,0.9607599973678588,0.1173
Daniel Weiskopf,davinci,Text2,0.068965517,0.231292517,0.068965517,0.163265306,688,0.808445394039154,0.0002
Daniel Weiskopf,davinci,Text3,0.202764977,0.511415525,0.211981567,0.347031963,155,0.965799868106842,0.1222
Daniel Weiskopf,turbo,Text1,0.22907489,0.586206897,0.252173913,0.362068966,863,0.9801439,0.1413
Daniel Weiskopf,turbo,Text2,0.269230769,0.58490566,0.285714286,0.386792453,682,0.96226907,0.1214
Daniel Weiskopf,turbo,Text3,0.243243243,0.587719298,0.265486726,0.385964912,578,0.9808125,0.1311
Michael Burch,ada,Text1,0.047244094,0.276923077,0.078125,0.184615385,571,0.9014732,0.0071
Michael Burch,ada,Text2,0.043956044,0.106382979,0.043478261,0.106382979,239,0.30723578,0.0
Michael Burch,ada,Text3,0.0,0.307692308,0.071856287,0.201183432,86,0.95379233,0.0046
Michael Burch,curie,Text1,0.178571429,0.48245614,0.212389381,0.289473684,571,0.9688158,0.0854
Michael Burch,curie,Text2,0.209424084,0.515463918,0.229166667,0.309278351,917,0.9682176,0.1428
Michael Burch,curie,Text3,0.202247191,0.582417582,0.255555556,0.373626374,693,0.97877955,0.1395
Michael Burch,davinci,Text1,0.25,0.60130719,0.264900662,0.405228758,571,0.9513745903968812,0.1189
Michael Burch,davinci,Text2,0.25974026,0.632258065,0.274509804,0.425806452,437,0.9600133895874025,0.1493
Michael Burch,davinci,Text3,0.231707317,0.581818182,0.257668712,0.4,464,0.9721258282661438,0.1398
Michael Burch,turbo,Text1,0.233766234,0.536170213,0.266094421,0.4,571,0.97598004,0.1226
Michael Burch,turbo,Text2,0.261306533,0.591133005,0.298507463,0.413793103,960,0.97119766,0.1448
Michael Burch,turbo,Text3,0.290909091,0.634730539,0.315151515,0.45508982,762,0.9641137,0.1687
James A. Jones,ada,Text1,0.049382716,0.311377246,0.060606061,0.179640719,578,0.9358047,0.0206
James A. Jones,ada,Text2,0.156862745,0.375586854,0.170616114,0.300469484,450,0.93392783,0.0241
James A. Jones,ada,Text3,0.04,0.368421053,0.053333333,0.171052632,797,0.9676492,0.0108
James A. Jones,curie,Text1,0.103092784,0.37755102,0.113402062,0.255102041,578,0.9518246,0.0721
James A. Jones,curie,Text2,0.171428571,0.522222222,0.179775281,0.3,733,0.96935487,0.0982
James A. Jones,curie,Text3,0.18,0.433497537,0.189054726,0.315270936,610,0.9486254,0.1304
James A. Jones,davinci,Text1,0.244444444,0.541436464,0.245810056,0.397790055,578,0.9653664231300354,0.1824
James A. Jones,davinci,Text2,0.272727273,0.573529412,0.268656716,0.485294118,603,0.9410070776939392,0.1526
James A. Jones,davinci,Text3,0.318471338,0.556962025,0.307692308,0.455696203,318,0.9220613837242126,0.1818
James A. Jones,turbo,Text1,0.210909091,0.482269504,0.221428571,0.354609929,578,0.9787192,0.1074
James A. Jones,turbo,Text2,0.274725275,0.568306011,0.309392265,0.448087432,1290,0.9312128,0.1732
James A. Jones,turbo,Text3,0.277456647,0.628571429,0.289017341,0.4,626,0.9372178,0.1895
Catherine Plaisant,ada,Text1,0.057553957,0.181818182,0.056737589,0.111888112,771,0.9076729,0.0064
Catherine Plaisant,ada,Text2,0.111111111,0.213740458,0.124031008,0.213740458,188,0.9101455,0.001
Catherine Plaisant,ada,Text3,0.024691358,0.223529412,0.047619048,0.164705882,140,0.8784434,0.0038
Catherine Plaisant,curie,Text1,0.261306533,0.524271845,0.274509804,0.359223301,771,0.97097874,0.1755
Catherine Plaisant,curie,Text2,0.15,0.448780488,0.147783251,0.263414634,566,0.95623213,0.0814
Catherine Plaisant,curie,Text3,0.155688623,0.32748538,0.153846154,0.198830409,545,0.9566029,0.0457
Catherine Plaisant,davinci,Text1,0.232142857,0.532751092,0.22907489,0.358078603,771,0.9797236919403076,0.1674
