Generated_Texts,Model,Bleu,F1_Score,RougeL,Length,Vec2
Text1,ada,0.03135,0.0976958858,0.20868472405,669.8,0.9267639785
Text1,curie,0.108675,0.1753394467,0.311529916,669.8,0.965413283
Text1,davinci,0.16593,0.2518022847,0.4013911681,669.8,0.7679705828428268
Text1,turbo,0.135565,0.23864316859999998,0.37288025290000004,669.8,0.9776441985
Text2,ada,0.028745,0.0910251058,0.19100608349999998,345.3,0.8888824515
Text2,curie,0.095785,0.16080608670000002,0.2940734023,677.1,0.9565951145
Text2,davinci,0.048555,0.14563048105,0.2605692729,580.1,0.6789136856794358
Text2,turbo,0.16119,0.27051651355,0.4059971552,938.85,0.9627584445
Text3,ada,0.013685,0.056894215449999994,0.16848121375,344.05,0.9111298065
Text3,curie,0.07258,0.13890036925,0.2576023602,673.6,0.9343874925
Text3,davinci,0.162165,0.27333628115,0.39784296275000003,232.3,0.7630004554986953
Text3,turbo,0.16709000000000002,0.27711751065,0.40719311290000004,629.4,0.9643980864999999
