Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu
Xenophon Papademetris,turbo,97,0.3069580833333333,0.426307851,690.3333333333334,0.9758585333333332,0.1863666666666666
Xenophon Papademetris,davinci,97,0.216233986,0.324361603,446.3333333333333,0.0,0.1384999999999999
Xenophon Papademetris,curie,97,0.1430780276666666,0.2967313866666667,780.3333333333334,0.9571287,0.0538666666666666
Xenophon Papademetris,ada,97,0.07154369,0.2007752456666666,387.3333333333333,0.9194180866666668,0.0242666666666666
Stuart K. Card,turbo,83,0.311279587,0.3914898596666666,736.0,0.97236981,0.1793666666666666
Stuart K. Card,davinci,83,0.1909994293333333,0.313952365,478.3333333333333,0.9052913188934326,0.1213666666666666
Stuart K. Card,curie,83,0.1699956963333333,0.259696688,692.0,0.8963056566666667,0.1197666666666666
Stuart K. Card,ada,83,0.149783893,0.2611483723333333,477.6666666666667,0.95536792,0.0502333333333333
Stephan Diehl,turbo,100,0.2557644433333333,0.4233197099999999,724.0,0.9692286866666668,0.1598666666666666
Stephan Diehl,ada,100,0.0897901663333333,0.198956739,736.6666666666666,0.9432170566666668,0.0344666666666666
Stephan Diehl,curie,100,0.181509063,0.3230069996666667,704.6666666666666,0.97669735,0.1228
Stephan Diehl,davinci,100,0.2328708326666666,0.4159109993333333,515.3333333333334,0.9268188079198202,0.1109
Penny Rheingans,davinci,62,0.176994616,0.300334169,508.3333333333333,0.8415626883506775,0.1221666666666666
Penny Rheingans,turbo,62,0.2436651153333333,0.3780850513333333,925.3333333333334,0.96070675,0.1502666666666666
Penny Rheingans,ada,62,0.0684575626666666,0.1512588473333333,445.0,0.9129857833333334,0.0150666666666666
Penny Rheingans,curie,62,0.1114211806666666,0.2477894933333333,849.3333333333334,0.9553271,0.0859333333333333
Michael Burch,ada,100,0.030400046,0.1640605986666666,298.6666666666667,0.7208337699999999,0.0039
Michael Burch,curie,100,0.196747568,0.3241261363333333,727.0,0.97193765,0.1225666666666666
Michael Burch,davinci,100,0.2471491923333333,0.41034507,490.6666666666667,0.9611712694168092,0.136
Michael Burch,turbo,100,0.2619939526666666,0.4229609743333333,764.3333333333334,0.9704304666666668,0.1453666666666666
Mary Jean Harrold,davinci,100,0.1572773743333333,0.3321123436666667,458.6666666666667,0.8421880404154459,0.1000666666666666
Mary Jean Harrold,ada,100,0.0632548113333333,0.1432156863333333,365.3333333333333,0.8553080566666668,0.0105666666666666
Mary Jean Harrold,curie,100,0.0914763656666666,0.2318625023333333,590.0,0.96062481,0.0482333333333333
Mary Jean Harrold,turbo,100,0.2380305746666666,0.4108691963333333,677.6666666666666,0.9621242166666668,0.1291
Mary C. Whitton,turbo,59,0.2976882453333333,0.435833055,690.0,0.97373578,0.1835
Mary C. Whitton,ada,59,0.1193615183333333,0.238414676,449.0,0.9534436066666668,0.0495333333333333
Mary C. Whitton,curie,59,0.1337549686666666,0.2686832473333333,655.0,0.95850138,0.0819666666666666
Mary C. Whitton,davinci,59,0.307382298,0.4049780193333333,523.6666666666666,0.9538203676541648,0.1639333333333333
Marie desJardins,curie,99,0.1936370506666666,0.3301731886666666,506.3333333333333,0.9586056933333332,0.1210666666666666
Marie desJardins,davinci,99,0.2542201153333334,0.3890879236666666,419.6666666666667,0.9345281521479288,0.1322666666666666
Marie desJardins,ada,99,0.0142181693333333,0.1408809483333333,375.3333333333333,0.94910712,0.0057666666666666
Marie desJardins,turbo,99,0.2620504496666666,0.4084005706666667,700.0,0.9727792833333332,0.1540666666666666
James A. Jones,davinci,45,0.278547685,0.4462601253333333,499.6666666666667,0.9428116281827292,0.1722666666666666
James A. Jones,curie,45,0.1515071183333333,0.2901243256666666,640.3333333333334,0.9566016233333332,0.1002333333333333
James A. Jones,ada,45,0.0820818203333333,0.2170542783333333,608.3333333333334,0.94579391,0.0185
James A. Jones,turbo,45,0.2543636709999999,0.4008991203333333,831.3333333333334,0.9490499333333332,0.1566999999999999
Henry Fuchs,ada,100,0.075246484,0.177355956,420.6666666666667,0.8892625333333334,0.0430333333333333
Henry Fuchs,curie,100,0.1595910123333333,0.3062771473333333,561.6666666666666,0.9542458766666666,0.1237666666666666
Henry Fuchs,davinci,100,0.2702437153333333,0.3957361299999999,467.6666666666667,0.9439648191134136,0.1353666666666666
Henry Fuchs,turbo,100,0.2613815313333333,0.396581526,702.6666666666666,0.9681846,0.1454666666666666
Ghassan Hamarneh,curie,150,0.1677365193333333,0.310504431,635.3333333333334,0.9616726633333332,0.0973
Ghassan Hamarneh,davinci,150,0.2012183239999999,0.3573572593333333,455.0,0.910105288028717,0.1501666666666666
Ghassan Hamarneh,turbo,150,0.3261386209999999,0.4585235783333333,675.3333333333334,0.97944501,0.2056666666666666
Ghassan Hamarneh,ada,150,0.059032748,0.1818367346666666,360.0,0.8993660800000001,0.0165333333333333
Fabian Beck,davinci,61,0.2148347386666666,0.3352064406666666,492.3333333333333,0.9260968963305156,0.0901666666666666
Fabian Beck,curie,61,0.1330305253333333,0.282003682,537.0,0.9585204466666668,0.0552666666666666
Fabian Beck,ada,61,0.0938169176666666,0.2168718796666666,435.3333333333333,0.9328640866666666,0.0133
Fabian Beck,turbo,61,0.2442412343333333,0.3882223643333333,736.0,0.9699505966666668,0.1392
Dieter Schmalstieg,curie,300,0.1000509723333333,0.240797307,819.0,0.9444165666666668,0.0238
Dieter Schmalstieg,ada,300,0.0691884433333333,0.156118631,543.6666666666666,0.9175180066666666,0.0181666666666666
