Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu,paragraph
Carla E. Brodley,turbo,84,0.296732026,0.403678161,228.3333333,0.785886133,0.102233333,Paragraph 1
Carla E. Brodley,ada,84,0.114533711,0.231138533,320.0,0.77034298,0.035633333,Paragraph 1
Carla E. Brodley,curie,84,0.178369976,0.295977296,236.0,0.787767073,0.049233333,Paragraph 1
Carla E. Brodley,davinci,84,0.256172839,0.37164751,195.0,0.657260887,0.0925,Paragraph 1
Benjamin B. Bederson,turbo,100,0.269193608,0.402908274,321.0,0.752579823,0.122033333,Paragraph 1
Benjamin B. Bederson,curie,100,0.101609298,0.185805861,256.6666667,0.714335673,0.032733333,Paragraph 1
Benjamin B. Bederson,ada,100,0.064123377,0.183413078,275.6666667,0.62178151,0.014366667,Paragraph 1
Benjamin B. Bederson,davinci,100,0.244479221,0.38440617,179.3333333,0.611265877,0.0707,Paragraph 1
Ben Shneiderman,ada,400,0.028747448,0.131752649,314.6666667,0.578920683,0.008766667,Paragraph 1
Ben Shneiderman,curie,400,0.127549665,0.21402972,300.0,0.707828047,0.037133333,Paragraph 1
Ben Shneiderman,turbo,400,0.407854051,0.571723426,195.0,0.797973533,0.227566667,Paragraph 1
Ben Shneiderman,davinci,400,0.35234091,0.535792894,226.0,0.667642443,0.108,Paragraph 1
Anna Celler,turbo,14,0.272017282,0.433811802,150.6666667,0.798874,0.116266667,Paragraph 1
Anna Celler,davinci,14,0.268766322,0.385454545,121.3333333,0.694026217,0.1036,Paragraph 1
Anna Celler,curie,14,0.117940604,0.283250943,205.0,0.70187911,0.0286,Paragraph 1
Anna Celler,ada,14,0.038813039,0.160717879,239.6666667,0.655621983,0.011566667,Paragraph 1
Achim Ebert,turbo,100,0.225313603,0.337374723,157.0,0.75657049,0.0595,Paragraph 1
Achim Ebert,davinci,100,0.215383425,0.351023884,165.3333333,0.78367708,0.083366667,Paragraph 1
Achim Ebert,curie,100,0.094084464,0.174311058,292.0,0.733577743,0.030366667,Paragraph 1
Achim Ebert,ada,100,0.026530151,0.181566815,281.6666667,0.719642933,0.0094,Paragraph 1
Xenophon Papademetris,turbo,97,0.4389892693333333,0.500932744,342.6666666666667,0.9503996266666668,0.3423666666666666,Paragraph 2
Xenophon Papademetris,davinci,97,0.2286483823333333,0.2440801457194899,190.3333333333333,0.7397471000000001,0.1085666666666666,Paragraph 2
Xenophon Papademetris,curie,97,0.3247988486666667,0.5205128205128204,264.0,0.7689114212989807,0.2067666666666666,Paragraph 2
Xenophon Papademetris,ada,97,0.0996689586666666,0.204654953,250.66666666666663,0.8110430836677551,0.0224666666666666,Paragraph 2
Stuart K. Card,turbo,83,0.5215692200000001,0.6339171530000001,393.6666666666667,0.9290287466666666,0.4403666666666666,Paragraph 2
Stuart K. Card,davinci,83,0.4486873819999999,0.5338266384778013,296.3333333333333,0.8236059666666667,0.3138333333333333,Paragraph 2
Stuart K. Card,curie,83,0.377007964,0.5938238770685579,330.6666666666667,0.892323891321818,0.3001333333333333,Paragraph 2
Stuart K. Card,ada,83,0.2358781943333333,0.4151070336666667,302.6666666666667,0.82569420337677,0.1787,Paragraph 2
Stephan Diehl,turbo,100,0.3615907596666667,0.4730276366666666,433.0,0.9220237333333332,0.2440333333333333,Paragraph 2
Stephan Diehl,ada,100,0.1742207703333333,0.3279098743333333,254.66666666666663,0.7508961955706278,0.0725,Paragraph 2
Stephan Diehl,curie,100,0.2305594516666667,0.5117964472803183,285.6666666666667,0.0,0.1885333333333333,Paragraph 2
Stephan Diehl,davinci,100,0.2812814266666666,0.4482323232323232,162.66666666666666,0.68714575,0.1533,Paragraph 2
Penny Rheingans,davinci,62,0.3090613546666667,0.2859056316590563,234.66666666666663,0.5104125033333333,0.1530666666666666,Paragraph 2
Penny Rheingans,turbo,62,0.479431672,0.610624892,323.0,0.9103347,0.3472333333333333,Paragraph 2
Penny Rheingans,ada,62,0.131361075,0.2903799906666666,215.0,0.6739439765612284,0.0522999999999999,Paragraph 2
Penny Rheingans,curie,62,0.1145612953333333,0.1830598000377286,295.0,0.7903007467587789,0.0542666666666666,Paragraph 2
Michael Burch,ada,100,0.1025798573333333,0.206613684,269.3333333333333,0.8162563244501749,0.0348333333333333,Paragraph 2
Michael Burch,curie,100,0.2006802719999999,0.3144841269841269,314.0,0.8104435801506042,0.1171,Paragraph 2
Michael Burch,davinci,100,0.319459058,0.3981973995271867,230.66666666666663,0.7742408733333334,0.1534666666666666,Paragraph 2
Michael Burch,turbo,100,0.4164074353333333,0.5348591003333333,337.0,0.9282206133333334,0.3229,Paragraph 2
Mary Jean Harrold,davinci,100,0.3852967426666667,0.4814552326954877,223.0,0.7879806366666666,0.2591333333333333,Paragraph 2
Mary Jean Harrold,ada,100,0.125366299,0.28351255,296.0,0.827622652053833,0.0542666666666666,Paragraph 2
Mary Jean Harrold,curie,100,0.2758057936666666,0.5718816067653276,290.6666666666667,0.8469225962956747,0.2130999999999999,Paragraph 2
Mary Jean Harrold,turbo,100,0.4557185893333333,0.558160553,318.6666666666667,0.9353792666666668,0.3796,Paragraph 2
Mary C. Whitton,turbo,59,0.4880952379999999,0.620264353,375.6666666666667,0.9300691133333334,0.4200333333333333,Paragraph 2
Mary C. Whitton,ada,59,0.1627995403333333,0.3352713176666667,285.6666666666667,0.7829465866088867,0.1198,Paragraph 2
Mary C. Whitton,curie,59,0.3300622796666666,0.5619355832948066,293.6666666666667,0.7914738257726034,0.2255333333333333,Paragraph 2
Mary C. Whitton,davinci,59,0.225818157,0.2957575757575757,208.0,0.5653731733333333,0.1329666666666666,Paragraph 2
Marie desJardins,curie,99,0.2898579286666666,0.5324432576769026,322.3333333333333,0.8196219801902771,0.2201666666666666,Paragraph 2
Marie desJardins,davinci,99,0.3217350496666666,0.2445121951219512,278.3333333333333,0.7816176366666667,0.2265666666666666,Paragraph 2
Marie desJardins,ada,99,0.1354880413333333,0.2239635993333333,117.0,0.0,0.0366333333333333,Paragraph 2
Marie desJardins,turbo,99,0.5202860753333334,0.618352942,368.3333333333333,0.94561362,0.3992333333333333,Paragraph 2
