Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.432989691,0.5252525252525253,0.5252525252525253,0.5252525252525253,435,0.8409980535507202,0.2442
Ben Shneiderman,Text2,0.276595745,0.4536082474226804,0.4536082474226804,0.4536082474226804,242,0.6950445175170898,0.1346
Ben Shneiderman,Text3,0.336633663,0.505050505050505,0.505050505050505,0.505050505050505,209,0.7717206478118896,0.2098
Fabian Beck,Text1,0.483516484,0.6888888888888889,0.6888888888888889,0.6888888888888889,314,0.8843818306922913,0.3774
Fabian Beck,Text2,0.375,0.5,0.5,0.5,287,0.8539870381355286,0.2883
Fabian Beck,Text3,0.365384615,0.6666666666666666,0.6666666666666666,0.6666666666666666,288,0.8867136240005493,0.2709
Mary Jean Harrold,Text1,0.441860465,0.6136363636363635,0.6136363636363635,0.6136363636363635,331,0.8445706963539124,0.3392
Mary Jean Harrold,Text2,0.315789474,0.4883720930232558,0.4883720930232558,0.4883720930232558,250,0.8747730851173401,0.2847
Mary Jean Harrold,Text3,0.069767442,0.6136363636363635,0.6136363636363635,0.6136363636363635,291,0.8214240074157715,0.0154
Stephan Diehl,Text1,0.365591398,0.6236559139784946,0.6236559139784946,0.6236559139784946,293,0.0,0.312
Stephan Diehl,Text2,0.326086957,0.3956043956043956,0.3956043956043956,0.3956043956043956,291,0.0,0.2536
Stephan Diehl,Text3,0.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,273,0.0,0.0
Daniel Weiskopf,Text1,0.215827338,0.4671532846715328,0.4671532846715328,0.4671532846715328,572,0.908859133720398,0.2034
Daniel Weiskopf,Text2,0.277372263,0.2518518518518519,0.2518518518518519,0.2518518518518519,405,0.9182674288749696,0.1964
Daniel Weiskopf,Text3,0.439393939,0.2627737226277372,0.2627737226277372,0.2627737226277372,390,0.8392792344093323,0.3225
Michael Burch,Text1,0.222222222,0.4489795918367346,0.4489795918367346,0.4489795918367346,413,0.8608489036560059,0.0882
Michael Burch,Text2,0.277777778,0.2291666666666666,0.2291666666666666,0.2291666666666666,239,0.8425132036209106,0.1994
Michael Burch,Text3,0.102040816,0.2653061224489796,0.2653061224489796,0.2653061224489796,290,0.7279686331748962,0.0637
James A. Jones,Text1,0.419753086,0.6419753086419754,0.6419753086419754,0.6419753086419754,283,0.8631824851036072,0.3281
