Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.196428571,0,0.28436019
Fabian Beck,0.285714286,0.137931034,0.220858896
Mary Jean Harrold,0.214689266,0.019047619,0.238095238
Stephan Diehl,0.24137931,0.156028369,0.301204819
Daniel Weiskopf,0.193832599,0.068965517,0.202764977
Michael Burch,0.25,0.25974026,0.231707317
James A. Jones,0.244444444,0.272727273,0.318471338
Catherine Plaisant,0.232142857,0.290909091,0.303030303
Benjamin B. Bederson,0.189473684,0.220779221,0.222222222
Stuart K. Card,0.309278351,0.016528926,0.247191011
Achim Ebert,0.269005848,0.245901639,0.261363636
Mary C. Whitton,0.323699422,0.309677419,0.288770053
Henry Fuchs,0.245810056,0.308823529,0.256097561
Dieter Schmalstieg,0.245098039,0,0.215686275
Anna Celler,0.220779221,0,0.245901639
Ghassan Hamarneh,0.275132275,0.058252427,0.27027027
Xenophon Papademetris,0.294416244,0,0.354285714
Penny Rheingans,0.264317181,0,0.266666667
Marie desJardins,0.218181818,0.25,0.294478528
Carla E. Brodley,0.322222222,0.297297297,0.443298969
