Name,ROUGE1_Generated_Text1,ROUGE2_Generated_Text1,ROUGEL_Generated_Text1,ROUGE1_Generated_Text2,ROUGE2_Generated_Text2,ROUGEL_Generated_Text2,ROUGE1_Generated_Text3,ROUGE2_Generated_Text3,ROUGEL_Generated_Text3
Ben Shneiderman,0.5175438596491229,0.21238938053097345,0.35087719298245607,0.028169014084507043,0.0,0.028169014084507043,0.5462962962962963,0.29906542056074764,0.3796296296296296
Fabian Beck,0.625,0.3157894736842105,0.4166666666666667,0.3697478991596639,0.13675213675213674,0.23529411764705882,0.5975609756097561,0.23456790123456792,0.3536585365853658
Mary Jean Harrold,0.5280898876404495,0.2159090909090909,0.3595505617977528,0.3636363636363636,0.05555555555555556,0.2181818181818182,0.6046511627906976,0.25882352941176473,0.4186046511627907
Stephan Diehl,0.6292134831460674,0.2954545454545454,0.4157303370786517,0.5,0.19718309859154928,0.3888888888888889,0.5988023952095809,0.303030303030303,0.4431137724550898
Daniel Weiskopf,0.5130434782608696,0.21052631578947367,0.34782608695652173,0.23129251700680273,0.0689655172413793,0.163265306122449,0.5114155251141552,0.21198156682027652,0.3470319634703196
Michael Burch,0.6013071895424836,0.26490066225165565,0.40522875816993464,0.632258064516129,0.27450980392156865,0.42580645161290326,0.5818181818181818,0.25766871165644173,0.39999999999999997
James A. Jones,0.5414364640883979,0.2458100558659218,0.39779005524861877,0.5735294117647058,0.26865671641791045,0.4852941176470589,0.5569620253164557,0.30769230769230765,0.45569620253164556
Catherine Plaisant,0.5327510917030567,0.2290748898678414,0.35807860262008734,0.48837209302325585,0.27058823529411763,0.4418604651162791,0.5247524752475248,0.29,0.40594059405940597
Benjamin B. Bederson,0.5360824742268041,0.19791666666666669,0.37113402061855666,0.49382716049382713,0.2125,0.34567901234567905,0.5492227979274612,0.23036649214659682,0.3937823834196892
Stuart K. Card,0.5800000000000001,0.3232323232323232,0.47000000000000003,0.23255813953488372,0.047244094488188976,0.12403100775193798,0.5760869565217391,0.29670329670329665,0.3478260869565218
Achim Ebert,0.5714285714285714,0.28901734104046245,0.4228571428571429,0.5079365079365079,0.2580645161290322,0.28571428571428575,0.6145251396648045,0.28248587570621464,0.35754189944134074
Mary C. Whitton,0.6214689265536725,0.33142857142857146,0.4067796610169492,0.6257668711656442,0.3229813664596274,0.45398773006134974,0.5625,0.29473684210526313,0.35416666666666663
Henry Fuchs,0.585635359116022,0.2458100558659218,0.38674033149171266,0.5467625899280576,0.32116788321167883,0.4028776978417266,0.5421686746987951,0.25609756097560976,0.39759036144578314
Dieter Schmalstieg,0.6019417475728155,0.2450980392156863,0.3883495145631068,0.01680672268907563,0.0,0.01680672268907563,0.49514563106796117,0.2450980392156863,0.1941747572815534
Anna Celler,0.5641025641025641,0.2077922077922078,0.3205128205128205,0.15384615384615383,0.0,0.10256410256410255,0.5040650406504065,0.2644628099173554,0.37398373983739835
Ghassan Hamarneh,0.6321243523316062,0.2931937172774869,0.4766839378238342,0.1509433962264151,0.057692307692307696,0.1509433962264151,0.6560846560846562,0.31016042780748665,0.4444444444444444
Xenophon Papademetris,0.6363636363636364,0.33673469387755106,0.46464646464646464,0.019801980198019802,0.0,0.019801980198019802,0.6590909090909091,0.3563218390804598,0.48863636363636365
Penny Rheingans,0.5350877192982455,0.26548672566371684,0.4122807017543859,0.10526315789473684,0.015267175572519082,0.06015037593984963,0.5612244897959183,0.26804123711340205,0.42857142857142855
Marie desJardins,0.5238095238095238,0.2289156626506024,0.38095238095238093,0.48275862068965514,0.24561403508771928,0.3620689655172414,0.5696969696969697,0.2822085889570552,0.4242424242424242
Carla E. Brodley,0.6077348066298343,0.3240223463687151,0.47513812154696133,0.6315789473684211,0.29333333333333333,0.5,0.6903553299492385,0.4512820512820513,0.5482233502538072
