Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu
Xenophon Papademetris,turbo,97,0.265090129,0.38970186,159.3333333,0.740548483,0.087866667
Xenophon Papademetris,davinci,97,0.224476877,0.323629924,199.0,0.63989553,0.057866667
Xenophon Papademetris,curie,97,0.149074074,0.259536444,324.6666667,0.80499099,0.035766667
Xenophon Papademetris,ada,97,0.120580508,0.23023439,220.3333333,0.743694367,0.030066667
Stuart K. Card,turbo,83,0.20767383,0.280290401,305.6666667,0.6580835,0.105133333
Stuart K. Card,davinci,83,0.229236979,0.322364672,157.3333333,0.584417903,0.086633333
Stuart K. Card,curie,83,0.104588788,0.255018123,219.6666667,0.670197483,0.0328
Stuart K. Card,ada,83,0.025404944,0.125656327,235.0,0.591753717,0.015033333
Stephan Diehl,turbo,100,0.206974858,0.321804512,279.6666667,0.74418131,0.049866667
Stephan Diehl,ada,100,0.071024449,0.204380852,377.3333333,0.74648692,0.014366667
Stephan Diehl,curie,100,0.144530411,0.247063011,274.6666667,0.741710333,0.0615
Stephan Diehl,davinci,100,0.207114216,0.34539442,149.6666667,0.65316107,0.082233333
Penny Rheingans,davinci,62,0.131721145,0.285249774,161.0,0.6184936,0.0316
Penny Rheingans,turbo,62,0.254610999,0.390921809,144.0,0.713318057,0.064933333
Penny Rheingans,ada,62,0.130185123,0.239612658,299.0,0.756028863,0.0375
Penny Rheingans,curie,62,0.152145659,0.250554397,272.0,0.746178647,0.064866667
Michael Burch,ada,100,0.04949495,0.203750643,291.6666667,0.645846923,0.0181
Michael Burch,curie,100,0.121694027,0.214520951,252.0,0.713285633,0.038333333
Michael Burch,davinci,100,0.343403714,0.473138657,159.0,0.710334657,0.143366667
Michael Burch,turbo,100,0.208140432,0.378840552,296.6666667,0.678129667,0.110466667
Mary Jean Harrold,davinci,100,0.362986313,0.514800584,158.0,0.680917263,0.1103
Mary Jean Harrold,ada,100,0.042784602,0.147635756,350.6666667,0.64467821,0.0118
Mary Jean Harrold,curie,100,0.133229135,0.266558324,213.3333333,0.75026385,0.038833333
Mary Jean Harrold,turbo,100,0.261965812,0.431940425,273.0,0.753258473,0.097333333
Mary C. Whitton,turbo,59,0.272109885,0.386477386,155.0,0.763507667,0.052966667
Mary C. Whitton,ada,59,0.10683237,0.21509772,315.6666667,0.742701233,0.0272
Mary C. Whitton,curie,59,0.099372099,0.23794926,297.0,0.700344287,0.0197
Mary C. Whitton,davinci,59,0.195427568,0.309097454,179.6666667,0.610713857,0.024533333
Marie desJardins,curie,99,0.177106556,0.313131313,219.3333333,0.78064093,0.0488
Marie desJardins,davinci,99,0.280055194,0.419730392,193.0,0.54072682,0.0917
Marie desJardins,ada,99,0.122222222,0.247464503,156.3333333,0.705592,0.023033333
Marie desJardins,turbo,99,0.247004203,0.384407364,194.0,0.741338557,0.082266667
James A. Jones,davinci,45,0.18654561,0.279071482,139.3333333,0.61572795,0.023533333
James A. Jones,curie,45,0.099095447,0.2296494,302.0,0.697625317,0.018566667
James A. Jones,ada,45,0.079415779,0.188753662,276.0,0.810786453,0.016533333
James A. Jones,turbo,45,0.196576572,0.311612364,175.0,0.792994067,0.060066667
Henry Fuchs,ada,100,0.075396825,0.198213716,252.3333333,0.696957617,0.023533333
