Generated_Texts,Model,Length
Text1,ada,276.65
Text1,curie,276.65
Text1,davinci,262.95
Text1,turbo,340.80
Text2,ada,300.40
Text2,curie,272.90
Text2,davinci,116.50
Text2,turbo,181.45
Text3,ada,279.20
Text3,curie,224.25
Text3,davinci,133.50
Text3,turbo,151.55
