Name,Model,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Anna Celler,turbo,0.272017282,0.551302499,0.280681818,0.433811802,150.6666667,0.798874,0.116266667
Ghassan Hamarneh,ada,0.025276052,0.247149429,0.025759092,0.169583574,426.6666667,0.768518253,0.0083
Ghassan Hamarneh,curie,0.114983046,0.416638757,0.125580277,0.218484639,298,0.758744067,0.023666667
Ghassan Hamarneh,davinci,0.171911422,0.35627208,0.196478758,0.328855053,190.6666667,0.604237847,0.061533333
Ghassan Hamarneh,turbo,0.104563796,0.36551854,0.114824456,0.26438296,336,0.761718177,0.058966667
Xenophon Papademetris,ada,0.120580508,0.336688897,0.136042618,0.23023439,220.3333333,0.743694367,0.030066667
Xenophon Papademetris,curie,0.149074074,0.413227368,0.155183057,0.259536444,324.6666667,0.80499099,0.035766667
Xenophon Papademetris,davinci,0.224476877,0.39624613,0.237430536,0.323629924,199,0.63989553,0.057866667
Xenophon Papademetris,turbo,0.265090129,0.461739248,0.299879785,0.38970186,159.3333333,0.740548483,0.087866667
Penny Rheingans,ada,0.130185123,0.343136668,0.136136221,0.239612658,299,0.756028863,0.0375
Penny Rheingans,curie,0.152145659,0.413447684,0.158496934,0.250554397,272,0.746178647,0.064866667
Penny Rheingans,davinci,0.131721145,0.353616995,0.148375768,0.285249774,161,0.6184936,0.0316
Penny Rheingans,turbo,0.254610999,0.472588367,0.309461464,0.390921809,144,0.713318057,0.064933333
Marie desJardins,ada,0.122222222,0.309668695,0.13023088,0.247464503,156.3333333,0.705592,0.023033333
Marie desJardins,curie,0.177106556,0.513597514,0.185307017,0.313131313,219.3333333,0.78064093,0.0488
Marie desJardins,davinci,0.280055194,0.519111811,0.299010883,0.419730392,193,0.54072682,0.0917
Marie desJardins,turbo,0.247004203,0.548767054,0.261667162,0.384407364,194,0.741338557,0.082266667
Carla E. Brodley,ada,0.114533711,0.328426448,0.120677414,0.231138533,320,0.77034298,0.035633333
Carla E. Brodley,curie,0.178369976,0.479364479,0.187953217,0.295977296,236,0.787767073,0.049233333
Carla E. Brodley,davinci,0.256172839,0.471559092,0.273433584,0.37164751,195,0.657260887,0.0925
Carla E. Brodley,turbo,0.296732026,0.521149425,0.316326531,0.403678161,228.3333333,0.785886133,0.102233333
