Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.432989691,0.276595745,0.336633663
Fabian Beck,0.483516484,0.375,0.365384615
Mary Jean Harrold,0.441860465,0.315789474,0.069767442
Stephan Diehl,0.365591398,0.326086957,0
Daniel Weiskopf,0.215827338,0.277372263,0.439393939
Michael Burch,0.222222222,0.277777778,0.102040816
James A. Jones,0.419753086,0.459459459,0.189189189
Catherine Plaisant,0.428571429,0.170731707,0.409638554
Benjamin B. Bederson,0.378378378,0.352941176,0.350515464
Stuart K. Card,0.47311828,0.144144144,0.513761468
Achim Ebert,0.323232323,0.194444444,0.164705882
Mary C. Whitton,0.435643564,0.162790698,0.391752577
Henry Fuchs,0.210526316,0.243902439,0.104347826
Dieter Schmalstieg,0.495726496,0.503937008,0.234234234
Anna Celler,0.171428571,0.195121951,0
Ghassan Hamarneh,0.159090909,0.306306306,0
Xenophon Papademetris,0.463414634,0.372093023,0.138888889
Penny Rheingans,0.042553191,0.12371134,0.177419355
Marie desJardins,0.4,0.323232323,0.146341463
Carla E. Brodley,0.169014085,0.162162162,0.47311828
