Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2
Ben Shneiderman,Text1,0.432989691,0.5252525252525253,0.5252525252525253,0.5252525252525253,435,0.8409980535507202
Ben Shneiderman,Text2,0.276595745,0.4536082474226804,0.4536082474226804,0.4536082474226804,242,0.6950445175170898
Ben Shneiderman,Text3,0.336633663,0.505050505050505,0.505050505050505,0.505050505050505,209,0.7717206478118896
Fabian Beck,Text1,0.483516484,0.6888888888888889,0.6888888888888889,0.6888888888888889,314,0.8843818306922913
Fabian Beck,Text2,0.375,0.5,0.5,0.5,287,0.8539870381355286
Fabian Beck,Text3,0.365384615,0.6666666666666666,0.6666666666666666,0.6666666666666666,288,0.8867136240005493
Mary Jean Harrold,Text1,0.441860465,0.6136363636363635,0.6136363636363635,0.6136363636363635,331,0.8445706963539124
Mary Jean Harrold,Text2,0.315789474,0.4883720930232558,0.4883720930232558,0.4883720930232558,250,0.8747730851173401
Mary Jean Harrold,Text3,0.069767442,0.6136363636363635,0.6136363636363635,0.6136363636363635,291,0.8214240074157715
Stephan Diehl,Text1,0.365591398,0.6236559139784946,0.6236559139784946,0.6236559139784946,293,0.0
Stephan Diehl,Text2,0.326086957,0.3956043956043956,0.3956043956043956,0.3956043956043956,291,0.0
Stephan Diehl,Text3,0.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,273,0.0
Daniel Weiskopf,Text1,0.215827338,0.4671532846715328,0.4671532846715328,0.4671532846715328,572,0.908859133720398
Daniel Weiskopf,Text2,0.277372263,0.2518518518518519,0.2518518518518519,0.2518518518518519,405,0.9182674288749696
Daniel Weiskopf,Text3,0.439393939,0.2627737226277372,0.2627737226277372,0.2627737226277372,390,0.8392792344093323
Michael Burch,Text1,0.222222222,0.4489795918367346,0.4489795918367346,0.4489795918367346,413,0.8608489036560059
Michael Burch,Text2,0.277777778,0.2291666666666666,0.2291666666666666,0.2291666666666666,239,0.8425132036209106
Michael Burch,Text3,0.102040816,0.2653061224489796,0.2653061224489796,0.2653061224489796,290,0.7279686331748962
James A. Jones,Text1,0.419753086,0.6419753086419754,0.6419753086419754,0.6419753086419754,283,0.8631824851036072
James A. Jones,Text2,0.459459459,0.430379746835443,0.430379746835443,0.430379746835443,245,0.8538620471954346
James A. Jones,Text3,0.189189189,0.5925925925925926,0.5925925925925926,0.5925925925925926,190,0.8076136708259583
Catherine Plaisant,Text1,0.428571429,0.6117647058823529,0.6117647058823529,0.6117647058823529,349,0.8684266209602356
Catherine Plaisant,Text2,0.170731707,0.4578313253012048,0.4578313253012048,0.4578313253012048,241,0.8613214492797852
Catherine Plaisant,Text3,0.409638554,0.5647058823529412,0.5647058823529412,0.5647058823529412,213,0.7844680547714233
Benjamin B. Bederson,Text1,0.378378378,0.6491228070175439,0.6491228070175439,0.6491228070175439,384,0.9364194273948668
Benjamin B. Bederson,Text2,0.352941176,0.4285714285714286,0.4285714285714286,0.4285714285714286,418,0.7282319664955139
Benjamin B. Bederson,Text3,0.350515464,0.3684210526315788,0.3684210526315788,0.3684210526315788,229,0.7754208445549011
Stuart K. Card,Text1,0.47311828,0.6458333333333334,0.6458333333333334,0.6458333333333334,371,0.8938957452774048
Stuart K. Card,Text2,0.144144144,0.5106382978723404,0.5106382978723404,0.5106382978723404,284,0.8392033576965332
Stuart K. Card,Text3,0.513761468,0.6250000000000001,0.6250000000000001,0.6250000000000001,337,0.943872570991516
Achim Ebert,Text1,0.323232323,0.5,0.5,0.5,342,0.7888094782829285
Achim Ebert,Text2,0.194444444,0.3673469387755102,0.3673469387755102,0.3673469387755102,314,0.7051911354064941
Achim Ebert,Text3,0.164705882,0.4399999999999999,0.4399999999999999,0.4399999999999999,158,0.7391998767852783
