Author,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.5720666,0.53971505,0.6249804
Fabian Beck,0.79444957,0.69808054,0.7168375
Mary Jean Harrold,0.5761959,0.7123125,0.64552623
Stephan Diehl,0.70186126,0.7628953,0.7747042
Daniel Weiskopf,0.6200653,0.612577,0.72745794
Michael Burch,0.6216717,0.6827716,0.63309747
James A. Jones,0.8330577,0.727941,0.87136066
Catherine Plaisant,0.6446204,0.77341485,0.5529054
Benjamin B. Bederson,0.5783317,0.6900387,0.59697413
Stuart K. Card,0.59096605,0.5012571,0.683038
Achim Ebert,0.7356239,0.7445552,0.6787497
Mary C. Whitton,0.7179807,0.6916472,0.8184758
Henry Fuchs,0.6032973,0.8035868,0.68398875
Dieter Schmalstieg,0.6988834,0.73978853,0.64680666
Anna Celler,0.70763373,0.53113526,0.72809696
Ghassan Hamarneh,0.8133212,0.7567222,0.73551136
Xenophon Papademetris,0.8115424,0.7762453,0.6432954
Penny Rheingans,0.72877413,0.73872596,0.8005865
Marie desJardins,0.6195558,0.7249037,0.7723165
Carla E. Brodley,0.7419592,0.70622224,0.8628475
